,tree
378729,0
160730,0
298234,1
433071,0
161023,1
98800,1
493555,0
559071,0
554491,0
502855,0
123263,0
516577,0
197418,1
1320,0
553904,0
576968,0
3062,0
337670,0
221016,1
35459,0
289409,1
283199,1
251096,1
375072,0
570108,0
224882,0
183498,0
93795,0
354182,0
195617,0
561655,0
251065,1
476782,0
486596,0
376945,0
485492,0
289471,1
169030,0
21643,0
364663,0
345987,0
533943,0
184252,0
48840,0
258300,1
511399,0
108299,1
554685,0
526994,0
190237,1
394851,0
504151,0
357226,0
367408,1
174414,0
193478,0
341831,0
534740,0
915,1
540493,0
170020,1
484275,0
496686,0
102138,0
516142,0
382469,1
107412,1
234216,1
307100,1
299535,1
258546,1
363617,0
31208,0
26942,0
506345,0
33020,1
435521,1
565761,0
306589,1
338102,0
160816,1
114395,1
509963,0
458945,0
296152,0
407298,1
423640,1
22913,0
137538,0
123025,0
404372,0
311478,0
31612,0
469117,0
200199,1
535948,1
580833,0
365998,0
357133,0
472635,1
77772,0
523456,0
9392,0
231572,1
294076,1
310226,1
334174,1
179112,0
137516,0
528211,0
528165,0
514933,0
107502,0
424825,0
233571,0
214696,0
206260,1
524079,0
494430,0
237841,1
550002,0
172755,0
561226,0
435226,0
492703,0
554473,0
49353,0
275105,0
540197,0
104029,1
417556,0
226581,0
510120,0
442369,1
249646,1
395716,0
304495,1
574033,0
162725,0
90105,1
181928,0
455964,1
83897,1
227536,1
212718,1
503810,0
541617,0
281545,0
361160,1
472657,0
52616,0
156238,0
346412,0
23677,0
50460,0
176821,0
252296,1
224438,0
153673,0
269557,1
313929,1
570579,0
378954,0
253583,1
494822,0
217725,1
534742,0
20998,0
440235,0
400388,1
511462,0
261948,1
417965,0
14603,0
222244,0
69374,0
20303,0
62341,1
162938,1
370104,0
576612,1
141538,0
357683,0
87105,0
92552,0
58003,0
404490,1
468415,1
113552,1
68286,0
128797,0
132490,0
3879,0
113382,1
210161,1
270169,1
311137,0
464113,1
491068,0
220740,1
25448,0
463504,1
540412,0
51825,0
5466,0
26667,1
514399,0
175238,0
94376,1
150471,0
227386,1
297139,1
174286,0
471644,0
165065,0
488769,0
537506,0
519135,0
149882,0
476532,0
222404,0
393322,0
425247,0
148362,0
137135,0
433242,1
200879,1
7250,0
291939,1
252640,0
436557,0
280414,0
375135,0
419854,0
336772,0
112795,1
138060,0
241832,1
43554,0
125159,0
228714,1
437606,0
547740,0
425476,0
303153,0
413118,0
567563,0
31218,0
343738,0
451742,1
533022,0
227499,1
473800,0
145448,0
502865,0
62874,1
229878,1
67200,0
497787,0
562598,0
333607,1
21437,1
301462,1
33748,0
121715,0
335389,1
523846,0
52175,0
367079,0
524122,0
479466,0
401629,1
413609,1
500514,0
242455,1
22498,1
51376,0
107446,1
546428,1
306309,0
445495,1
72513,0
262831,1
8585,0
174688,1
410141,1
546165,0
290017,1
28926,1
397857,0
402028,1
397174,1
42830,0
161669,1
290761,1
320517,0
137923,0
525320,0
81255,0
393304,0
579042,0
97851,0
133374,0
195064,0
351414,0
5882,0
253129,1
564251,0
73,1
419739,0
298113,1
177718,0
277718,0
405134,1
268675,0
77815,0
141609,0
368299,0
270802,1
395850,1
42019,0
441942,0
140556,0
418903,0
530039,0
83457,1
65955,1
262872,0
128818,0
569981,0
234704,1
335766,1
341668,1
204318,1
234031,0
455256,0
84448,1
384888,1
417399,0
152430,0
227398,0
520308,0
332826,1
285378,1
462459,1
555745,0
196832,1
121650,0
311345,1
41941,0
498348,0
229275,1
1287,0
181880,1
229500,1
425409,0
556527,0
84178,1
193989,1
495911,0
208431,1
201782,1
559412,0
120963,0
213330,1
16426,0
173097,1
359571,0
219337,0
441286,0
579032,0
460350,0
309534,1
105004,1
261699,1
319120,1
286179,1
533577,0
401869,1
234850,0
167201,1
564641,0
403395,1
403623,1
288314,1
297411,1
282349,1
174240,0
87234,1
154367,0
380457,0
19398,1
109719,1
419316,0
430344,0
507784,0
383501,1
57857,0
365348,0
515623,0
447233,1
28015,0
473250,0
519101,0
457194,0
382238,1
528647,0
467158,1
558258,0
321176,1
88487,0
517619,0
516379,0
160169,0
466468,1
483368,0
566264,0
551796,0
336986,0
552307,0
241795,1
40718,1
558705,0
464928,0
420189,0
34670,0
365380,0
494165,0
456159,1
425385,0
200435,0
530541,0
230127,0
206268,1
318531,1
340255,0
77797,0
110305,1
138101,0
264049,1
199491,0
165094,0
404601,1
278967,0
479731,0
577853,0
567257,0
528449,0
81020,0
407068,1
369165,0
1190,1
181352,1
1874,0
286860,1
344916,0
121840,0
24258,1
473527,0
455870,0
187001,1
405859,1
531582,0
27148,0
69916,0
250882,1
207627,1
565468,0
569444,0
234423,1
339840,1
206264,1
120497,0
392403,1
51095,0
162724,0
416389,1
421685,0
484641,0
512013,0
484341,0
551603,0
84918,1
313469,0
137655,0
394357,0
207835,1
489218,0
162103,1
108531,1
518651,0
580120,1
119368,0
467508,1
355846,1
278606,1
60267,0
528669,0
286608,1
249502,1
117669,0
488385,0
69386,0
209936,1
356345,0
226824,1
273331,0
241890,1
261015,1
197672,0
81232,1
508033,0
335988,1
172346,1
426332,0
243438,1
534703,0
173739,1
148565,0
377437,0
316468,1
561641,0
422489,1
52763,0
76456,0
541453,0
53951,0
560942,0
59797,1
246884,0
135437,0
159117,0
557046,0
334480,0
579959,1
303449,0
342859,0
359519,0
275700,0
226556,1
401620,1
252768,0
303877,0
558075,1
183127,0
315613,1
464888,0
344917,0
552941,0
393313,0
436055,0
557058,0
576303,0
445909,1
313903,0
348167,0
64605,0
200964,1
445496,1
253192,1
470424,0
72953,0
490847,0
31953,0
491038,0
389392,1
58026,0
273570,0
209847,1
66764,1
219343,0
298816,1
255414,0
208844,1
139990,0
290371,1
311793,1
553669,0
565925,0
478172,0
560525,0
401403,0
511030,0
485345,0
347559,0
341776,0
263855,1
107719,1
25525,1
357205,0
409377,1
476629,0
220135,1
5459,0
445258,1
157499,0
141219,0
138159,0
197602,0
536575,0
132040,0
302062,1
306036,1
448906,0
482242,0
462433,0
364087,1
102036,0
252931,1
566674,0
425302,0
128754,0
11345,1
445944,1
145806,0
185541,0
569164,0
477679,1
548302,0
347665,0
210052,1
410521,0
191714,0
446954,1
7342,1
567726,0
512222,0
565775,0
43725,1
238683,1
141097,0
537413,0
386588,0
167022,1
513109,0
409081,1
374101,0
58310,0
152081,1
24864,1
403830,1
110468,1
462321,1
296598,0
163548,1
480466,0
77659,0
545706,0
557265,0
257066,0
413896,1
522165,0
101589,1
426129,0
434814,0
379030,1
283556,0
418174,0
169839,1
232516,1
124157,0
515688,0
381594,0
317578,0
547571,0
545414,0
361652,0
322754,0
328198,1
213956,0
284250,1
475822,0
106488,1
169111,0
291978,1
406163,1
536682,0
353274,0
318827,1
158904,1
277046,1
551334,0
31604,0
37389,0
336497,0
401675,1
422128,0
203744,1
554197,0
424855,0
79162,0
412094,1
466705,1
12898,0
356570,0
188625,1
143757,0
373355,0
564794,0
326094,1
142297,0
270343,1
443153,1
491329,0
472697,0
50652,0
133879,0
501129,0
267148,0
247505,1
310005,1
241084,1
74390,1
321127,1
10698,0
412846,0
443553,0
293290,1
165191,0
153622,0
552853,0
209433,1
245983,1
509418,0
49788,1
41767,0
44537,1
438580,0
232686,0
75969,1
397317,1
323839,0
514342,0
337287,0
38227,0
552402,0
108937,1
475998,0
3802,0
114091,1
238358,1
51673,0
115753,1
324349,0
523675,0
364222,0
74786,0
228967,1
579434,0
456339,0
338865,0
530382,0
570068,0
411478,0
232626,1
164588,0
520616,0
160632,0
120034,0
574259,1
537826,0
571548,0
552032,0
400757,0
510683,0
478521,0
370721,0
245703,1
248260,0
110248,1
250798,1
359623,1
99789,1
467138,1
76982,0
341609,0
203504,1
373424,1
140374,0
148741,0
293780,1
453533,0
278674,1
502907,0
422854,0
301066,1
255311,1
62789,1
341500,1
36881,0
356053,0
6707,0
406383,1
420362,0
140211,0
51013,0
45240,0
546237,1
343224,1
380598,1
266605,1
400271,0
189732,0
33533,0
561483,0
204731,1
475416,0
308417,0
304224,0
222126,1
21331,0
132093,0
439645,0
454972,1
27117,1
164254,0
351452,0
523678,0
410588,1
170778,0
552424,0
192525,0
542882,0
138628,0
267017,0
14725,0
279833,1
122910,0
120727,0
414059,1
408198,1
574179,1
204272,1
40575,0
67615,0
43370,0
69943,1
389202,0
99920,1
122431,0
444819,1
335861,1
338804,0
533994,0
160651,0
519824,0
443728,1
94261,1
248676,0
414402,1
394965,0
268108,1
265531,0
229287,1
127661,0
285865,1
556963,0
535439,0
567046,0
22244,1
233837,1
128840,0
562511,0
534479,1
99949,0
460775,1
136537,0
46098,1
171174,0
289890,1
86888,0
209703,1
281375,1
175219,0
96463,0
368007,0
402704,0
94721,0
170075,0
141294,0
45875,1
279271,1
488623,0
474533,0
173474,0
257539,1
564432,0
533128,0
538712,0
528258,0
294356,1
223756,0
314152,1
340179,0
103513,1
2180,0
436323,0
250113,1
426324,0
7636,1
446445,1
133167,0
375102,1
432194,0
262532,1
143641,0
157484,0
257601,1
107529,1
527057,0
286152,0
7835,0
465365,0
115740,1
200820,1
178619,0
350256,0
510769,0
255352,0
566644,0
184423,0
398663,1
245751,1
40367,0
498822,0
575002,0
65752,0
553561,0
35265,0
44448,0
18696,1
193304,0
306230,1
392582,0
302302,1
351060,0
331050,1
376588,0
208504,1
233373,1
51439,0
262607,1
374404,1
235419,0
469321,0
298494,1
281392,0
414508,0
84975,1
460335,1
135621,0
275475,0
94663,1
527574,0
440543,0
149743,0
